QuRYeRnAuXM,EvilSquirrelPictures,1135,Pets & Animals,252,1075,4.96,46,86,gFa1YMEJFag
3TYqkBJ9YRk,hggh22,1135,Comedy,169,228,5,5,3,QuRYeRnAuXM
rSJ8QZWBegU,TimeGem,1135,Entertainment,95,356,4.31,13,1,QuRYeRnAuXM
nRcovJn9xHg,wooochacha,1135,Entertainment,118,1115,2.23,57,73,QuRYeRnAuXM
UEvVksP91kg,johnx113,1135,Entertainment,83,281,2.67,9,16,gFa1YMEJFag
sVkuOk4jmCo,marcosoycadiz,1135,People & Blogs,49,1196,3.67,6,5,yjt5v88-6Aw
ZTopArY7Nbg,TroyChannel,1136,Entertainment,145,11,0,0,0,THM3FYUNyr8
0RViGi2Rne8,OmnipotentSI,1135,Entertainment,9,490,2.31,26,15,rSJ8QZWBegU
HT_QlOJbDpg,dumbasstheredneck,1095,Comedy,14,1349,2.09,22,13,cdbp6rCVzRs
ShhClb6J-NA,thecrashguy,1136,Entertainment,61,29,0,0,0,8dEezTw8J_o
g9e1alirMhc,iamdanielisaac,541,Comedy,152,483053,4.65,2689,2932,_i6OD_y_-AI
YZev1imoxX8,threefirstnames,1135,Entertainment,253,63,5,3,2,ldZPDf2cwqI
I4yKEK9o8gA,djlogitek,964,News & Politics,173,106929,4.39,1010,1484,g9e1alirMhc
1GKaVzNDbuI,fatvids,690,Comedy,176,2464486,4.5,13342,11997,Bd61LnxqSng
yuZhwV24PmM,weneedhelp,1082,News & Politics,213,46183,4.71,280,247,hU9iCANi02o
zQ83d_D2MGs,dumbasstheredneck,1095,Comedy,14,1550,1.57,14,4,HT_QlOJbDpg
DomumdGQSg8,imgrown18,910,Comedy,224,392908,4.8,1261,829,lVTS0iuo1EY
pFUYi7dp1WU,StanleyJenkins,1106,Comedy,200,110272,4.07,1011,482,_1haYY5pV18
2l6vwAIAqNU,makemagazine,460,Film & Animation,294,71966,4.07,260,229,g9e1alirMhc
hiSmlmXp-aU,bravenewfilms,440,Entertainment,168,653840,4.43,198,377,ED6YaRl93CE
dh6dF1XY3uI,Ffllaanndd,1090,Entertainment,249,146,5,1,1,
_a0gQFOJYWM,diamondfan1910,1011,Film & Animation,369,728,4.64,11,17,dN0NcMm9qZo
UzPldH0vuHY,Ffllaanndd,1100,Entertainment,424,229,4,4,2,Gfv3UpKGkl8
h9gRdAmGFnM,LinIsKorean,1067,Entertainment,410,220,4.33,6,9,wZuzB4i4HLA
rKWq0l6YiT0,ratfink43,719,News & Politics,37,4446,4.81,21,8,XeolH-kzx4c
M67aD5lLC2M,zeldamastertimmy2,1100,Entertainment,477,379,4.2,10,5,0oLMy5wWn30
gP0jnBrVEpI,NoodleStroodel,1069,Film & Animation,107,161,5,1,2,
geUY_esOrt0,samsarajade,1108,Comedy,218,664,5,12,27,
kIxj9S6jiB4,GoldGlove01,1089,Film & Animation,79,25,0,0,0,
mfUwgrwkqiI,Dukescubbie,881,People & Blogs,53,447,4.86,7,2,
0jjrvtqa-BQ,easterfilms,800,Entertainment,137,523,4.2,10,9,
VoPgxHja4Os,Djclyve,744,Entertainment,340,1083,2.33,3,0,a1Gqpdrna9Y
QJMZjx4L0BA,diamondfan1910,1038,Film & Animation,322,230,5,4,9,
OshpuI9BGVU,mywiiowns,883,Entertainment,608,406,2.43,7,4,
eBGIQ7ZuuiU,YouGotRickRolled,832,Comedy,210,8119804,4.64,23256,29160,oHg5SJYRHA0
L3mR8syHNIg,DarkArchon102,1068,Entertainment,84,109,5,1,7,WW4Lvnr07Hw
McZ3lP8lb6E,uglydollfreak,1089,Entertainment,614,146,2.5,2,5,LDU9qX_Y1Xo
WsaQ0dQhXnA,SamProof,861,Entertainment,226,3685,4.85,33,80,
16XHS2R_mEo,Zarzycki3000,1060,Entertainment,212,57,2.33,3,2,L3mR8syHNIg
lhGZVgoDub0,WhiteKhakis,965,Entertainment,291,5481,4.64,14,18,Bgzgj25CmKg
aYHBqH_xbCw,Ryokibin,1133,News & Politics,521,11327,4.77,96,190,EZT0_Kmyfl0
SfaxA9Q-9AQ,CBS,1134,News & Politics,177,25618,4.86,182,153,Pef5AUt-tic
1cWWE3A2mDI,davoodnpussy,1135,News & Politics,89,3947,1.46,69,49,gtyYEwQwc28
exT_E9FNu84,zabbabou,1136,News & Politics,63,549,3.15,13,11,gtyYEwQwc28
osqnkdc349s,giantPANDER,1135,News & Politics,132,597,5,4,1,SfaxA9Q-9AQ
5lWlN8g2dAc,JoannaLloyduynsv,1134,News & Politics,53,2511,4.43,7,9,6KqmfUFZbBw
ZCYtPT_bpTI,speakmymind01,1133,News & Politics,116,5321,4.77,30,60,8BfNqhV5hg4
6KqmfUFZbBw,ScrappleFace,1134,News & Politics,45,12971,4.57,23,44,5lWlN8g2dAc
Y_hAXbgxXp8,andiKentvmai,1135,News & Politics,124,209,5,1,8,ZCYtPT_bpTI
IxVsdS887HA,wazolangu,1130,News & Politics,39,44203,4.72,184,208,D01Wa2PLquU
L1WYOl2_5Kg,iaxiloll,1134,News & Politics,382,4648,4.48,31,119,iOsGo_HWP-c
bjAuzPnJ82A,lotarvk,1134,News & Politics,122,6715,4.82,33,166,8BfNqhV5hg4
E8_odhuWfTk,SteveMarmel,1131,Comedy,149,53950,4.68,341,572,rc01OYUYLes
